Date,Time,Factory,Region,Shift,Workers,Exp,Training,Temp,Pressure,Humidity,Vibration,Speed,Age,Service_Days,Gas,Sparks,Alarm,Risk,Accident
2021-01-01,10:45:00,Factory_A,Rural,Day,28.0,Junior,Yes,24.1,22.04,63.17,1.94,3219.07,12,11,9.86,1,On,33.07,0
2021-01-01,11:00:00,Factory_A,Rural,Day,31.0,Senior,No,20.56,23.23,66.97,3.22,2701.5,1,170,2.98,0,On,43.43,0
2021-01-01,11:15:00,Factory_B,Industrial_Zone,Day,33.0,Senior,Yes,22.84,19.21,74.32,0.51,3058.61,10,19,2.33,2,Off,28.94,0
2021-01-01,11:30:00,Factory_C,Urban,Night,35.0,Junior,No,23.62,23.82,64.57,2.85,3621.77,7,1,2.63,1,On,32.71,0
2021-01-01,11:45:00,Factory_A,Industrial_Zone,Night,24.0,Junior,No,28.17,25.51,64.95,4.93,3393.04,4,277,3.11,2,Off,59.74,0
2021-01-01,12:00:00,Factory_B,Urban,Day,21.0,Senior,Yes,26.03,19.59,33.33,4.21,1284.14,18,12,6.43,3,Off,38.46,0
2021-01-01,12:15:00,Factory_A,Industrial_Zone,Night,15.0,Junior,Yes,19.71,21.07,58.09,3.53,3835.02,5,178,0.98,4,On,40.34,0
2021-01-01,12:30:00,Factory_D,Urban,Day,35.0,Junior,Yes,25.97,23.02,32.39,2.01,1786.88,15,42,8.86,2,Off,38.99,0
2021-01-01,12:45:00,Factory_C,Industrial_Zone,Day,36.0,Junior,No,23.84,21.76,36.46,3.58,1166.24,16,135,7.72,0,Off,51.05,0
2021-01-01,13:00:00,Factory_D,Rural,Day,18.0,Senior,No,22.97,25.48,73.98,0.86,2896.66,7,72,9.07,3,On,40.35,0
2021-01-01,13:15:00,Factory_C,Industrial_Zone,Night,25.0,Senior,Yes,26.84,25.3,41.58,2.8,1184.99,2,86,5.79,3,Off,35.5,0
2021-01-01,13:30:00,Factory_B,Industrial_Zone,Day,21.0,Senior,No,28.09,22.19,77.05,1.24,2382.34,16,144,3.33,2,Off,53.55,0
2021-01-01,13:45:00,Factory_C,Industrial_Zone,Day,43.0,Junior,No,27.79,25.18,61.77,2.05,2808.18,1,50,3.37,1,On,39.42,0
2021-01-01,14:00:00,Factory_C,Urban,Night,32.0,Senior,Yes,22.48,19.41,68.59,1.77,3232.22,8,188,1.24,3,On,39.04,0
2021-01-01,14:15:00,Factory_B,Rural,Night,10.0,Senior,No,24.07,20.29,79.86,4.58,2472.2,3,353,9.05,3,Off,53.92,0
2021-01-01,14:30:00,Factory_C,Urban,Night,,Junior,No,25.99,23.32,59.58,1.46,1262.23,10,357,3.68,4,Off,66.63,0
2021-01-01,14:45:00,Factory_A,Urban,Day,34.0,Senior,No,27.93,26.31,73.59,1.19,3486.05,15,7,9.77,1,Off,41.25,0
2021-01-01,15:00:00,Factory_B,Urban,Day,13.0,Senior,No,23.56,18.81,32.65,4.61,2290.23,1,133,2.6,0,On,30.98,0
2021-01-01,15:15:00,Factory_B,Industrial_Zone,Night,31.0,Junior,No,24.44,21.21,52.76,3.48,3418.25,19,43,2.82,2,Off,37.28,0
2021-01-01,15:30:00,Factory_B,Urban,Day,15.0,Junior,No,21.68,23.19,54.53,2.01,3165.13,9,279,6.64,0,On,52.34,0
2021-01-01,15:45:00,Factory_D,Rural,Night,,Senior,Yes,21.41,18.82,50.85,3.33,2561.72,10,139,5.41,4,On,41.53,0
2021-01-01,16:00:00,Factory_D,Urban,Day,42.0,Junior,Yes,27.44,23.78,34.7,0.85,1663.94,16,90,0.45,2,On,46.74,0
2021-01-01,16:15:00,Factory_C,Urban,Night,37.0,Junior,Yes,29.07,23.91,55.17,3.61,3964.59,2,45,8.6,4,On,41.73,0
2021-01-01,16:30:00,Factory_B,Industrial_Zone,Night,29.0,Junior,Yes,24.78,24.95,40.64,3.72,2340.64,6,334,3.85,0,Off,60.4,0
2021-01-01,16:45:00,Factory_C,Industrial_Zone,Night,32.0,Junior,Yes,28.01,24.64,68.33,3.32,1539.78,12,188,3.09,2,Off,53.82,0
2021-01-01,17:00:00,Factory_A,Urban,Day,47.0,Senior,No,26.08,22.45,30.9,0.88,3240.09,7,120,7.77,2,On,47.04,0
2021-01-01,17:15:00,Factory_B,Rural,Night,31.0,Junior,No,23.06,19.86,52.73,0.37,3772.49,14,280,6.82,3,On,52.18,0
2021-01-01,17:30:00,Factory_A,Urban,Night,6.0,Senior,Yes,26.08,27.25,59.75,1.23,2762.58,1,129,1.18,3,On,39.11,0
2021-01-01,17:45:00,Factory_C,Industrial_Zone,Day,34.0,Junior,No,29.61,24.66,60.13,3.05,3849.77,13,136,6.33,3,On,53.07,0
2021-01-01,18:00:00,Factory_D,Industrial_Zone,Day,21.0,Senior,No,24.89,21.99,54.68,4.54,3220.36,13,166,7.11,1,On,52.99,0
2021-01-01,18:15:00,Factory_C,Rural,Night,26.0,Senior,Yes,29.69,25.85,77.5,2.3,3595.3,9,100,2.1,1,Off,49.39,0
2021-01-01,18:30:00,Factory_A,Rural,Night,44.0,Junior,Yes,17.14,20.01,52.72,3.56,2521.07,4,180,6.28,4,Off,37.82,0
2021-01-01,18:45:00,Factory_B,Urban,Night,9.0,Senior,Yes,27.47,20.93,78.6,3.77,2576.8,3,272,8.04,4,Off,62.25,0
2021-01-01,19:00:00,Factory_C,Urban,Night,30.0,Senior,Yes,25.26,22.25,66.08,2.1,3407.02,1,37,6.11,2,On,38.45,0
2021-01-01,19:15:00,Factory_B,Industrial_Zone,Day,26.0,Junior,Yes,24.1,19.91,68.86,2.09,3659.5,3,20,9.01,3,Off,30.44,0
2021-01-01,19:30:00,Factory_D,Rural,Day,8.0,Junior,Yes,25.28,21.51,63.99,4.45,1380.8,13,314,5.39,0,On,58.03,0
2021-01-01,19:45:00,Factory_D,Rural,Day,25.0,Senior,No,19.04,22.07,74.81,2.19,3332.15,4,101,4.66,2,On,31.97,0
2021-01-01,20:00:00,Factory_D,Rural,Day,36.0,Junior,Yes,24.34,24.48,76.57,0.96,2355.3,18,288,7.84,2,On,58.68,0
2021-01-01,20:15:00,Factory_B,Industrial_Zone,Night,,Senior,No,26.07,24.21,34.75,3.71,2757.81,9,283,3.43,0,Off,60.3,0
2021-01-01,20:30:00,Factory_C,Rural,Night,29.0,Senior,Yes,29.43,21.91,71.93,0.73,3972.48,6,215,9.58,3,On,56.17,0
2021-01-01,20:45:00,Factory_B,Industrial_Zone,Day,48.0,Junior,Yes,23.45,22.1,64.18,2.58,1488.73,3,260,8.23,0,Off,56.13,0
2021-01-01,21:00:00,Factory_B,Rural,Night,44.0,Junior,No,22.57,20.14,56.93,1.79,2834.07,12,338,0.59,1,Off,57.08,0
2021-01-01,21:15:00,Factory_C,Urban,Day,14.0,Senior,Yes,23.49,23.73,59.44,0.12,2009.16,11,325,5.24,3,Off,55.67,0
2021-01-01,21:30:00,Factory_D,Industrial_Zone,Night,39.0,Senior,Yes,27.75,22.75,53.91,4.19,3106.5,5,208,7.25,3,On,52.28,0
2021-01-01,21:45:00,Factory_D,Urban,Night,48.0,Junior,Yes,25.99,21.34,38.71,2.25,3328.4,4,334,1.77,4,Off,55.33,0
2021-01-01,22:00:00,Factory_C,Rural,Night,18.0,Junior,No,23.41,222.43,54.51,1.56,3388.27,19,289,1.44,1,On,56.27,0
2021-01-01,22:15:00,Factory_B,Urban,Night,45.0,Junior,Yes,26.54,25.7,31.99,0.97,1032.97,11,241,9.73,4,Off,57.89,0
2021-01-01,22:30:00,Factory_B,Urban,Night,17.0,Junior,Yes,25.29,24.78,35.47,3.37,1520.78,5,89,9.09,2,Off,43.18,0
2021-01-01,22:45:00,Factory_D,Rural,Day,15.0,Junior,Yes,27.91,26.55,39.75,3.13,3003.51,16,39,4.29,1,Off,47.6,0
2021-01-01,23:00:00,Factory_A,Industrial_Zone,Day,,Junior,Yes,22.89,24.06,61.36,0.81,1744.4,12,51,1.24,1,Off,37.89,0
2021-01-01,23:15:00,Factory_A,Industrial_Zone,Night,40.0,Junior,No,24.02,25.27,30.51,3.88,3341.54,5,323,9.38,2,Off,59.89,0
2021-01-01,23:30:00,Factory_A,Urban,Day,45.0,Junior,Yes,23.82,22.27,52.04,0.03,3176.96,10,312,7.83,1,On,51.9,0
2021-01-01,23:45:00,Factory_B,Industrial_Zone,Day,34.0,Junior,No,20.61,19.42,78.33,4.73,1750.51,7,273,2.05,2,On,49.36,0
2021-01-02,00:00:00,Factory_B,Rural,Day,12.0,Junior,No,25.89,21.29,47.59,0.65,3479.77,9,70,5.07,0,On,38.61,0
2021-01-02,00:15:00,Factory_D,Rural,Day,32.0,Junior,Yes,25.78,25.28,74.24,1.16,2330.56,12,290,9.6,4,On,61.15,0
2021-01-02,00:30:00,Factory_A,Rural,Night,9.0,Junior,Yes,25.02,22.16,53.42,2.02,1723.64,19,273,7.28,0,On,63.76,0
2021-01-02,00:45:00,Factory_D,Industrial_Zone,Night,15.0,Senior,Yes,24.3,20.33,34.05,1.03,3494.34,13,166,3.33,1,Off,45.3,0
2021-01-02,01:00:00,Factory_D,Industrial_Zone,Day,12.0,Senior,Yes,20.75,21.42,71.07,4.88,1959.44,17,212,9.12,2,Off,46.96,0
2021-01-02,01:15:00,Factory_D,Industrial_Zone,Day,39.0,Senior,No,23.74,18.97,46.67,3.8,1020.03,11,288,9.3,3,Off,51.9,0
2021-01-02,01:30:00,Factory_C,Urban,Day,43.0,Junior,Yes,23.97,19.83,67.91,0.73,3417.68,12,11,1.77,0,On,29.08,0
2021-01-02,01:45:00,Factory_A,Industrial_Zone,Day,44.0,Junior,No,22.59,21.73,63.32,4.18,3559.23,1,68,5.75,0,Off,31.75,0
2021-01-02,02:00:00,Factory_A,Rural,Night,8.0,Senior,Yes,24.52,24.02,37.52,2.0,3223.44,10,89,3.48,1,On,39.53,0
2021-01-02,02:15:00,Factory_C,Urban,Day,24.0,Junior,No,26.21,22.44,77.48,4.54,2210.53,12,203,8.01,0,On,50.7,0
2021-01-02,02:30:00,Factory_C,Rural,Day,19.0,Senior,No,30.66,24.86,46.0,1.33,2948.79,14,76,5.44,1,Off,47.74,0
2021-01-02,02:45:00,Factory_A,Urban,Night,22.0,Senior,Yes,25.52,24.34,49.5,2.49,2108.6,11,313,7.58,0,Off,58.88,0
2021-01-02,03:00:00,Factory_C,Urban,Night,48.0,Senior,Yes,25.77,24.54,50.3,4.55,2992.91,11,222,3.94,4,Off,51.45,0
2021-01-02,03:15:00,Factory_D,Rural,Night,30.0,Senior,Yes,24.78,18.24,62.11,0.22,1352.29,10,210,1.61,3,On,47.65,0
2021-01-02,03:30:00,Factory_B,Urban,Night,46.0,Senior,Yes,19.24,22.59,67.24,2.89,2661.42,8,351,7.67,3,On,51.68,0
2021-01-02,03:45:00,Factory_D,Urban,Day,10.0,Senior,Yes,24.92,21.81,69.47,0.8,2843.21,4,60,5.58,1,On,35.93,0
2021-01-02,04:00:00,Factory_A,Urban,Night,12.0,Senior,Yes,25.18,21.1,30.51,3.89,2675.97,18,289,0.93,1,Off,57.47,0
2021-01-02,04:15:00,Factory_C,Rural,Day,39.0,Junior,No,32.39,25.26,57.8,2.08,3650.7,17,120,0.35,4,On,53.99,0
2021-01-02,04:30:00,Factory_B,Rural,Day,25.0,Junior,No,24.42,19.48,65.63,2.63,2804.24,5,242,0.86,1,On,51.58,0
2021-01-02,04:45:00,Factory_A,Rural,Night,23.0,Senior,No,25.9,28.05,46.23,2.47,3598.06,14,319,0.13,1,On,59.05,0
2021-01-02,05:00:00,Factory_C,Urban,Day,6.0,Junior,Yes,24.9,19.84,58.4,1.17,3898.52,3,24,2.43,4,On,29.1,0
2021-01-02,05:15:00,Factory_B,Rural,Day,43.0,Senior,Yes,21.49,17.75,55.93,3.72,2121.54,3,165,2.9,4,On,43.43,0
2021-01-02,05:30:00,Factory_B,Rural,Night,19.0,Senior,Yes,28.43,23.69,43.91,3.79,1874.76,10,220,7.16,3,On,57.08,0
2021-01-02,05:45:00,Factory_C,Urban,Day,10.0,Junior,No,27.26,20.87,32.69,2.79,2830.77,3,112,4.45,3,Off,34.48,0
2021-01-02,06:00:00,Factory_B,Urban,Day,32.0,Senior,No,27.37,23.93,63.11,0.49,3495.3,7,330,3.74,0,On,66.91,0
2021-01-02,06:15:00,Factory_A,Urban,Day,42.0,Senior,No,22.27,24.42,41.02,4.16,3039.54,13,103,8.17,3,Off,43.8,0
2021-01-02,06:30:00,Factory_C,Urban,Night,27.0,Junior,Yes,29.21,24.93,52.82,1.59,2389.83,10,290,5.63,0,Off,68.83,0
2021-01-02,06:45:00,Factory_D,Urban,Day,36.0,Senior,Yes,20.79,21.07,52.3,0.92,1234.62,14,24,5.76,3,On,32.34,0
2021-01-02,07:00:00,Factory_A,Industrial_Zone,Night,13.0,Senior,Yes,26.76,22.8,76.28,0.75,3416.88,12,246,0.71,3,On,56.68,0
2021-01-02,07:15:00,Factory_A,Urban,Day,29.0,Junior,Yes,31.57,23.7,64.32,2.64,3809.51,2,240,8.29,0,Off,55.77,0
2021-01-02,07:30:00,Factory_C,Industrial_Zone,Night,18.0,Senior,No,22.03,20.43,40.58,4.76,2921.32,13,10,5.66,1,Off,28.3,0
2021-01-02,07:45:00,Factory_C,Urban,Day,42.0,Senior,Yes,23.3,23.76,47.18,0.7,3098.5,8,190,4.51,2,On,39.43,0
2021-01-02,08:00:00,Factory_B,Urban,Night,38.0,Junior,No,25.3,25.36,33.02,3.01,1515.09,16,231,4.66,0,On,60.58,0
2021-01-02,08:15:00,Factory_A,Urban,Night,42.0,Junior,Yes,23.49,21.83,56.07,4.09,2165.83,10,63,9.3,3,On,35.71,0
2021-01-02,08:30:00,Factory_B,Industrial_Zone,Night,36.0,Senior,Yes,20.35,21.93,66.47,0.11,1585.63,15,97,1.95,4,Off,41.69,0
2021-01-02,08:45:00,Factory_A,Urban,Night,11.0,Senior,No,25.21,21.05,38.01,3.1,3824.31,15,153,0.27,4,Off,51.51,0
2021-01-02,09:00:00,Factory_A,Industrial_Zone,Night,44.0,Senior,No,21.81,219.68,54.45,2.69,2878.7,2,156,6.19,3,On,36.9,0
2021-01-02,09:15:00,Factory_D,Urban,Night,45.0,Junior,Yes,26.42,20.01,57.6,1.36,1778.42,14,165,1.97,4,On,43.08,0
2021-01-02,09:30:00,Factory_A,Rural,Night,49.0,Junior,Yes,22.24,23.34,79.9,4.58,1080.68,8,115,1.71,1,On,39.27,0
2021-01-02,09:45:00,Factory_B,Urban,Day,47.0,Senior,No,29.65,23.67,56.5,0.59,2997.73,6,157,8.08,2,Off,51.48,0
2021-01-02,10:00:00,Factory_B,Urban,Night,48.0,Junior,No,22.65,18.67,50.1,2.33,1718.19,19,131,2.95,0,On,43.27,0
2021-01-02,10:15:00,Factory_D,Urban,Day,44.0,Senior,No,24.03,23.02,35.51,2.75,2467.09,11,47,7.47,0,On,35.74,0
2021-01-02,10:30:00,Factory_B,Urban,Night,15.0,Junior,Yes,27.44,26.41,35.25,1.84,1498.63,7,109,9.46,3,Off,49.45,0
2021-01-02,10:45:00,Factory_C,Industrial_Zone,Night,36.0,Junior,No,21.31,19.91,40.65,4.38,2873.77,5,124,5.13,3,On,36.38,0
2021-01-02,11:00:00,Factory_D,Urban,Day,47.0,Junior,Yes,25.68,19.3,64.47,4.35,3041.05,10,356,2.4,4,On,62.74,0
2021-01-02,11:15:00,Factory_B,Industrial_Zone,Night,24.0,Junior,No,28.92,23.81,34.46,4.93,1014.41,6,213,8.37,4,On,52.16,0
2021-01-02,11:30:00,Factory_B,Industrial_Zone,Day,16.0,Junior,Yes,20.18,20.57,48.07,0.46,3955.61,2,154,8.45,3,Off,35.19,0
2021-01-02,11:45:00,Factory_C,Rural,Day,21.0,Senior,Yes,25.55,23.97,54.63,0.07,3884.38,8,242,3.24,3,On,55.41,0
2021-01-02,12:00:00,Factory_D,Rural,Night,12.0,Junior,No,25.78,24.44,52.45,5.0,2212.82,4,38,2.26,4,Off,35.98,0
2021-01-02,12:15:00,Factory_C,Rural,Night,22.0,Junior,Yes,27.35,23.82,60.69,3.58,1603.95,17,1,0.22,1,Off,40.34,0
2021-01-02,12:30:00,Factory_D,Industrial_Zone,Day,39.0,Junior,No,21.29,20.13,50.45,4.83,1017.38,10,129,3.74,1,Off,37.06,0
2021-01-02,12:45:00,Factory_D,Industrial_Zone,Night,7.0,Senior,Yes,21.04,21.89,52.6,2.25,3953.52,13,30,1.89,3,On,36.61,0
2021-01-02,13:00:00,Factory_A,Rural,Night,8.0,Senior,Yes,26.57,20.64,50.67,0.94,2896.43,7,261,4.34,1,Off,54.57,0
2021-01-02,13:15:00,Factory_B,Rural,Day,10.0,Junior,No,25.89,21.01,62.7,4.35,2128.22,9,139,7.89,2,On,45.63,0
2021-01-02,13:30:00,Factory_B,Rural,Day,18.0,Senior,No,25.75,21.42,52.29,2.04,2031.75,9,141,3.82,2,On,45.67,0
2021-01-02,13:45:00,Factory_A,Industrial_Zone,Day,42.0,Senior,Yes,26.04,22.14,46.24,1.64,1291.74,14,293,5.43,2,Off,53.44,0
2021-01-02,14:00:00,Factory_C,Industrial_Zone,Night,14.0,Senior,No,22.96,18.71,41.57,1.18,3879.21,17,44,4.78,1,On,32.23,0
2021-01-02,14:15:00,Factory_A,Urban,Day,16.0,Senior,Yes,25.7,24.79,71.63,4.44,2544.62,3,21,8.93,0,On,34.65,0
2021-01-02,14:30:00,Factory_B,Rural,Night,12.0,Junior,Yes,25.88,20.52,53.63,4.98,2425.14,6,26,8.68,0,Off,32.35,0
2021-01-02,14:45:00,Factory_B,Rural,Night,23.0,Senior,No,22.86,16.05,45.24,0.66,1083.35,7,193,1.21,4,Off,41.29,0
2021-01-02,15:00:00,Factory_A,Rural,Day,41.0,Junior,No,30.6,27.27,65.36,3.47,3684.22,19,191,2.04,0,On,66.49,0
2021-01-02,15:15:00,Factory_A,Industrial_Zone,Day,7.0,Junior,No,26.42,24.24,40.06,4.03,3829.1,14,236,0.6,2,Off,55.41,0
2021-01-02,15:30:00,Factory_A,Industrial_Zone,Day,20.0,Junior,Yes,21.43,20.59,72.83,2.55,1920.07,10,200,7.5,4,On,48.79,0
2021-01-02,15:45:00,Factory_B,Industrial_Zone,Night,39.0,Senior,No,26.97,24.42,39.71,4.17,1368.01,5,162,1.79,1,Off,50.63,0
2021-01-02,16:00:00,Factory_A,Rural,Day,39.0,Senior,No,22.08,21.26,57.32,4.1,3244.72,18,245,0.35,1,On,54.0,0
2021-01-02,16:15:00,Factory_A,Urban,Night,48.0,Senior,Yes,27.36,26.01,75.37,3.57,3484.41,19,144,6.1,4,On,49.65,0
2021-01-02,16:30:00,Factory_C,Urban,Day,38.0,Junior,Yes,28.48,22.7,77.29,2.63,3568.92,1,1,8.24,3,Off,32.41,0
2021-01-02,16:45:00,Factory_A,Rural,Night,14.0,Senior,Yes,22.54,24.74,62.92,2.25,3116.95,3,99,9.9,1,Off,38.34,0
2021-01-02,17:00:00,Factory_B,Rural,Day,5.0,Senior,No,27.89,25.84,37.59,0.73,1181.26,18,200,8.34,2,Off,53.67,0
2021-01-02,17:15:00,Factory_C,Industrial_Zone,Night,7.0,Junior,Yes,26.24,21.91,58.7,1.88,2273.86,16,195,5.88,2,On,50.73,0
2021-01-02,17:30:00,Factory_D,Rural,Night,36.0,Senior,Yes,27.47,22.2,57.73,1.63,2350.67,18,46,2.64,2,On,41.5,0
2021-01-02,17:45:00,Factory_B,Rural,Day,16.0,Junior,No,30.69,25.64,53.44,0.85,1764.86,3,142,7.29,2,On,51.27,0
2021-01-02,18:00:00,Factory_B,Urban,Night,38.0,Senior,Yes,24.26,19.88,52.97,0.81,3334.87,3,132,9.27,3,Off,33.74,0
2021-01-02,18:15:00,Factory_D,Rural,Day,21.0,Junior,Yes,22.74,20.96,57.63,4.44,2554.91,6,328,4.83,3,Off,55.24,0
2021-01-02,18:30:00,Factory_B,Urban,Day,12.0,Junior,Yes,22.33,23.86,64.14,1.8,3242.85,5,343,7.85,0,On,54.31,0
2021-01-02,18:45:00,Factory_D,Industrial_Zone,Day,17.0,Junior,Yes,22.55,21.64,34.98,1.31,2380.1,6,77,1.29,3,On,34.88,0
2021-01-02,19:00:00,Factory_D,Urban,Day,27.0,Senior,Yes,24.77,26.57,72.31,4.32,1071.74,19,17,2.63,1,On,40.04,0
2021-01-02,19:15:00,Factory_B,Industrial_Zone,Day,38.0,Junior,No,26.02,21.47,71.84,1.03,3533.5,7,112,4.9,4,On,40.95,0
2021-01-02,19:30:00,Factory_A,Rural,Night,10.0,Senior,Yes,25.83,23.82,32.17,2.45,2640.0,12,239,2.91,4,Off,55.06,0
2021-01-02,19:45:00,Factory_A,Rural,Night,8.0,Junior,Yes,27.48,22.68,34.62,2.85,2370.09,14,363,8.36,2,On,66.82,0
2021-01-02,20:00:00,Factory_D,Industrial_Zone,Night,47.0,Junior,Yes,25.04,22.11,33.33,0.02,3148.92,11,64,9.49,3,Off,37.8,0
